ID,BPMF_Input,Correct_Chinese,Context_State,Source,Timestamp,Readable_Time
1,ㄉㄚㄧㄒㄧㄝㄋㄢㄧㄅㄧㄢㄕㄉㄜㄨㄣㄗ,試打一些難以辨識的文字,試,ai_auto_correction,1780324000.4731011,2026-06-01 22:26:40
2,ㄜㄘㄕ,呃次是,字,ai_auto_correction,1780324047.4180954,2026-06-01 22:27:27
3,ㄌㄞㄐㄧㄒㄧㄥㄘㄜㄕ,來進行測試,開始,ai_suggested_fix,1780324499.3135188,2026-06-01 22:34:59
4,ㄌㄞㄐㄧㄒㄧㄥㄘㄜㄕ,來繼行測試,開始,ai_suggested_fix,1780324777.790963,2026-06-01 22:39:37
5,ㄗ,試著,試,ai_suggested_fix,1780324795.5676546,2026-06-01 22:39:55
6,ㄐㄧㄒㄧㄥㄉㄧㄧㄘㄘㄜㄕ,進行第一次測試,開始,user_accepted_distillation,1780325805.9271684,2026-06-01 22:56:45
7,ㄉㄧㄧㄘㄐㄧㄣㄒㄧㄥㄘㄜㄕㄧㄐ,第一次進行測試,開始,user_selected_candidate,1780327550.191558,2026-06-01 23:25:50
8,ㄐㄧㄒㄧㄥㄉㄧㄧㄘㄘㄜㄕ,進行第一次測試,開始,user_selected_candidate,1780327883.1764083,2026-06-01 23:31:23
9,ㄓㄥㄗㄞㄐㄧㄒㄧㄥㄉㄧㄧㄘㄘㄜㄕ,正在進行第一次測試,開始,user_selected_candidate,1780410712.729987,2026-06-02 22:31:52
10,ㄓㄥㄗㄞㄐㄧㄒㄧㄥㄉㄧㄧㄘㄘㄜㄕ,正在進行第一次測試,試,user_selected_candidate,1780410764.829942,2026-06-02 22:32:44
11,ㄅㄘㄑㄙㄩㄅㄅㄨㄑㄩㄝㄧㄧㄠㄉㄚㄕㄣㄇㄜ,不錯其實不確定要打什麼,開始,user_selected_candidate,1780411916.3809602,2026-06-02 22:51:56
12,ㄒㄧㄥㄉㄧㄙㄢㄨㄘㄜㄕ,行第三務測試,麼,user_selected_candidate,1780411995.1017194,2026-06-02 22:53:15
13,ㄐㄧㄒㄧㄥ,進行,開始,user_selected_candidate,1780412467.4677024,2026-06-02 23:01:07
14,ㄐㄧㄒㄧㄥ,進行,行,user_selected_candidate,1780412478.920039,2026-06-02 23:01:18
15,ㄐㄧㄒㄧㄥ,進行,開始,user_selected_candidate,1780412994.1648293,2026-06-02 23:09:54
16,ㄍㄞㄎㄞㄕㄕㄐㄧㄒㄧㄥ,該開始記行,行,user_selected_candidate,1780413042.7732913,2026-06-02 23:10:42
17,ㄐㄧㄒㄧㄥㄘㄜㄕ,繼行測試,開始,user_selected_candidate,1780413202.4212132,2026-06-02 23:13:22
18,ㄝ,ㄝ,試,user_normal_typing,1780413998.0507786,2026-06-02 23:26:38
19,ㄐㄧㄒㄧ,ㄐㄧˋㄒㄧ,行,user_normal_typing,1780414270.5693405,2026-06-02 23:31:10
20,ㄒㄧㄢㄗㄞㄏㄨㄟㄔㄏㄨㄢㄔㄥㄧㄡㄌㄧㄤㄍㄜㄨㄣㄊㄧ,ㄒㄧㄢˋㄗㄞˋㄏㄨㄟˋㄔㄏㄨㄢˋㄔㄥˊㄧㄡˇㄌㄧㄤˇㄍㄜ˙ㄨㄣˋㄊㄧˊ,開始,user_normal_typing,1780414743.0156422,2026-06-02 23:39:03
21,ㄝ,ㄝ,ˊ,user_normal_typing,1780414743.9192343,2026-06-02 23:39:03
22,ㄉㄧㄧ,ㄉㄧˋㄧ,ㄝ,user_normal_typing,1780414745.2252092,2026-06-02 23:39:05
23,ㄢㄒㄒㄧㄚ,ㄢˋㄒㄒㄧㄚˋ,ㄧ,user_normal_typing,1780414748.9150465,2026-06-02 23:39:08
24,ㄏㄏㄔㄐㄠㄐㄧㄚㄒㄧㄒㄧㄤㄒㄧㄚ,ㄏㄏㄔㄐㄠㄐㄧㄚㄒㄧㄒㄧㄤˋㄒㄧㄚˋ,ˋ,user_normal_typing,1780414760.855889,2026-06-02 23:39:20
25,ㄠㄠㄏㄨㄟㄓㄐㄧㄝㄅㄚㄩㄢㄒㄧㄢㄉㄜ,ㄠㄠㄏㄨㄟˋㄓˊㄐㄧㄝㄅㄚˇㄩㄢˊㄒㄧㄢㄉㄜ˙,ˋ,user_normal_typing,1780414771.63546,2026-06-02 23:39:31
26,ㄏㄡㄒㄩㄢㄗ,ㄏㄡˋㄒㄩㄢˇㄗˋ,˙,user_normal_typing,1780414774.4492571,2026-06-02 23:39:34
27,ㄅㄧㄢㄅㄨㄐㄧㄢ,ㄅㄧㄢˋㄅㄨˊㄐㄧㄢˋ,ˋ,user_normal_typing,1780414777.6236398,2026-06-02 23:39:37
28,ㄝ,ㄝ,ˋ,user_normal_typing,1780414778.2993002,2026-06-02 23:39:38
29,ㄉㄧㄦ,ㄉㄧˋㄦˋ,ㄝ,user_normal_typing,1780414780.7229488,2026-06-02 23:39:40
30,ㄅㄣㄉㄧㄉㄨㄢㄗㄌㄧㄠㄇㄧㄥㄇㄧㄇㄧㄥ,ㄅㄣˇㄉㄧˋㄉㄨㄢㄗㄌㄧㄠˋㄇㄧㄥˊㄇㄧㄇㄧㄥˊ,ˋ,user_normal_typing,1780414791.5589266,2026-06-02 23:39:51
31,ㄧㄡ,ㄧㄡˇ,ˊ,user_normal_typing,1780414792.2585473,2026-06-02 23:39:52
32,ㄋㄥ,ㄋㄥˊ,ˇ,user_normal_typing,1780414793.5086114,2026-06-02 23:39:53
33,ㄆㄟㄉㄨㄟ,ㄆㄟˋㄉㄨㄟˋ,ˊ,user_normal_typing,1780414794.6086335,2026-06-02 23:39:54
34,ㄉㄜ,ㄉㄜ˙,ˋ,user_normal_typing,1780414795.4017313,2026-06-02 23:39:55
35,ㄉㄢㄘ,ㄉㄢㄘˊ,˙,user_normal_typing,1780414798.0806944,2026-06-02 23:39:58
36,ㄝ,ㄝ,ˊ,user_normal_typing,1780414798.8960922,2026-06-02 23:39:58
37,ㄑㄩㄝㄇㄟㄧㄡ,ㄑㄩㄝˋㄇㄟˊㄧㄡˇ,ㄝ,user_normal_typing,1780414801.1647112,2026-06-02 23:40:01
38,ㄐㄧㄣㄒㄧㄥ,ㄐㄧˋㄣㄒㄧㄥˊ,ˇ,user_normal_typing,1780414802.2966275,2026-06-02 23:40:02
39,ㄐㄧㄣㄒㄧㄥ,ㄐㄧㄣˋㄒㄧㄥˊ,ˊ,user_normal_typing,1780414804.3644931,2026-06-02 23:40:04
40,ㄆㄟㄉㄨㄟ,ㄆㄟˋㄉㄨㄟˋ,ˊ,user_normal_typing,1780414807.1871665,2026-06-02 23:40:07
41,ㄙㄛㄙㄛㄝ,ㄙㄛㄙㄛㄝ,試,user_normal_typing,1780415186.5235357,2026-06-02 23:46:26
42,ㄝ,ㄝ,ㄝ,user_normal_typing,1780415187.9078224,2026-06-02 23:46:27
43,ㄐㄧㄒㄧㄥㄘㄜㄕㄝ,ㄐㄧˋㄒㄧㄥˊㄘㄜˋㄕˋㄝ,ㄝ,user_normal_typing,1780415197.4352343,2026-06-02 23:46:37
44,ㄐㄧㄒㄧㄥ,ㄐㄧˋㄒㄧㄥˊ,ㄝ,user_normal_typing,1780415225.1641088,2026-06-02 23:47:05
45,ㄇㄧㄥㄇㄧㄥㄧㄧㄤㄉㄜㄕㄨㄖㄨㄕㄨㄖㄨ,ㄇㄧㄥˊㄇㄧㄥˊㄧˊㄧㄤˋㄉㄜ˙ㄕㄨㄖㄨㄕㄨㄖㄨˋ,ˊ,user_normal_typing,1780415267.1307611,2026-06-02 23:47:47
46,ㄏㄡㄇㄧㄢ,ㄏㄡˋㄇㄧㄢˋ,ˋ,user_normal_typing,1780415268.4600277,2026-06-02 23:47:48
47,ㄐㄧㄡㄆㄧㄆㄟㄅㄨㄉㄠ,ㄐㄧㄡˋㄆㄧˇㄆㄟˋㄅㄨˊㄉㄠˋ,ˋ,user_normal_typing,1780415271.7083185,2026-06-02 23:47:51
48,ㄗㄌㄧㄠㄌㄜ,ㄗㄌㄧㄠˋㄌㄜ˙,ˋ,user_normal_typing,1780415273.5556958,2026-06-02 23:47:53
49,ㄒ,ㄒ,˙,user_normal_typing,1780415275.7981875,2026-06-02 23:47:55
